# seed=2250
# capacities=64355.5;59666.5
item_id,profit_obj1,profit_obj2,weight_obj1,weight_obj2
1,585,187,511,375
2,390,635,69,414
3,430,972,462,48
4,442,908,11,611
5,798,900,128,478
6,321,320,974,76
7,226,205,752,798
8,115,2,901,441
9,967,564,148,268
10,577,481,865,306
11,444,472,834,667
12,828,697,880,88
13,807,674,453,597
14,871,463,371,393
15,440,986,211,978
16,291,149,737,381
17,476,159,717,329
18,59,664,736,942
19,890,270,283,385
20,140,767,528,93
21,110,350,681,383
22,69,194,942,118
23,367,426,308,199
24,714,275,980,965
25,986,307,226,388
26,754,850,844,767
27,195,844,436,848
28,796,986,145,57
29,215,749,434,32
30,448,796,886,848
31,162,761,480,859
32,857,234,508,173
33,88,564,723,525
34,583,672,357,948
35,488,36,146,74
36,932,629,338,187
37,370,924,465,371
38,79,609,950,412
39,116,628,627,138
40,428,706,854,299
41,141,564,798,223
42,168,372,748,653
43,214,908,334,99
44,183,530,563,250
45,4,332,474,663
46,823,419,183,850
47,760,61,942,301
48,29,513,242,603
49,514,821,313,458
50,912,607,720,264
51,395,143,795,287
52,190,593,904,309
53,431,967,873,744
54,501,431,28,991
55,101,242,72,245
56,306,435,932,498
57,858,491,825,199
58,429,685,562,478
59,339,663,191,122
60,644,541,717,978
61,829,649,745,715
62,359,716,320,1
63,962,521,555,872
64,569,797,58,513
65,282,674,991,179
66,66,235,440,94
67,733,714,612,258
68,975,641,26,648
69,482,486,457,301
70,312,94,485,823
71,978,784,971,623
72,210,576,63,842
73,75,444,403,69
74,595,69,476,318
75,942,731,465,774
76,183,326,208,913
77,580,779,440,421
78,402,280,336,619
79,304,977,982,927
80,195,643,397,355
81,464,616,494,721
82,54,436,451,369
83,572,50,257,994
84,742,783,195,806
85,481,331,25,743
86,718,868,667,49
87,719,719,58,605
88,354,555,918,959
89,486,696,384,693
90,194,569,41,238
91,161,846,341,294
92,164,945,918,888
93,79,261,253,815
94,970,42,753,978
95,549,598,798,505
96,730,373,399,175
97,690,330,972,194
98,874,952,104,336
99,542,72,944,724
100,833,4,708,28
101,336,733,346,645
102,721,2,425,73
103,432,6,802,785
104,983,292,46,456
105,16,586,593,742
106,586,229,84,985
107,91,710,692,318
108,527,247,14,919
109,978,341,882,163
110,382,925,429,52
111,882,791,612,345
112,7,832,526,589
113,974,957,921,34
114,581,365,585,183
115,444,791,78,486
116,3,389,424,203
117,681,242,533,618
118,274,568,81,87
119,998,96,505,786
120,903,652,341,942
121,617,639,383,451
122,892,429,390,6
123,242,975,339,613
124,771,478,647,532
125,183,387,239,863
126,410,662,483,60
127,290,428,714,769
128,236,57,860,730
129,428,343,158,915
130,222,134,589,479
131,466,189,111,546
132,49,79,312,170
133,863,787,685,779
134,738,266,459,252
135,663,500,547,458
136,490,21,180,440
137,476,936,171,497
138,408,755,386,130
139,872,98,279,756
140,437,576,595,804
141,532,460,779,751
142,644,810,364,281
143,200,69,582,128
144,165,521,242,569
145,714,490,713,878
146,673,646,528,450
147,134,971,676,103
148,418,223,313,361
149,715,186,767,102
150,511,800,771,401
151,517,916,477,545
152,819,823,569,598
153,142,825,794,913
154,975,412,205,346
155,819,623,36,234
156,231,625,789,49
157,991,154,539,673
158,936,179,692,134
159,166,578,552,14
160,780,440,415,770
161,250,739,959,436
162,549,119,687,129
163,461,668,885,457
164,203,244,559,107
165,69,256,130,181
166,422,327,891,662
167,88,945,460,533
168,816,707,671,759
169,451,751,296,869
170,358,374,671,715
171,755,684,198,570
172,466,320,382,715
173,26,990,197,342
174,837,89,802,965
175,102,945,346,581
176,323,120,812,283
177,652,781,185,430
178,317,377,990,251
179,387,272,263,46
180,473,551,221,944
181,724,645,994,544
182,829,303,56,714
183,793,757,519,412
184,435,237,967,273
185,668,106,612,719
186,789,435,655,623
187,160,715,837,33
188,46,424,194,550
189,22,238,194,709
190,388,741,608,103
191,69,85,599,404
192,904,651,226,624
193,439,179,527,106
194,7,753,175,824
195,728,938,748,365
196,27,62,994,39
197,946,110,941,978
198,75,351,490,178
199,215,524,802,930
200,367,837,846,436
201,45,567,23,261
202,211,541,977,676
203,482,341,400,333
204,773,302,713,996
205,598,822,817,864
206,171,857,181,72
207,213,896,101,852
208,54,943,304,834
209,220,492,113,639
210,961,61,219,5
211,67,797,916,412
212,859,702,402,257
213,868,738,636,963
214,732,340,974,381
215,996,411,201,960
216,963,904,279,23
217,525,682,88,924
218,466,266,271,168
219,300,440,556,410
220,689,231,376,179
221,406,155,850,458
222,145,64,662,946
223,500,677,796,420
224,241,855,764,47
225,340,214,214,365
226,265,829,822,122
227,132,918,624,515
228,854,825,975,197
229,217,57,407,457
230,194,55,59,703
231,937,195,159,154
232,220,717,685,819
233,706,436,333,174
234,606,399,373,103
235,531,602,552,875
236,22,390,114,736
237,9,264,619,761
238,131,492,657,982
239,178,408,169,739
240,728,150,534,28
241,240,427,855,226
242,254,196,668,422
243,890,736,379,216
244,273,722,951,448
245,735,407,633,34
246,211,143,573,813
247,68,283,389,882
248,221,167,313,386
249,871,385,989,705
250,349,783,981,38
